"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","10/65","339/18986",0.0294985250737463,8.61629226230996,8.29332912464242,2.16193529816778e-07,0.000129802050876669,0.000105318502438958,"AEBP1/CTSK/SH3PXD2B/MMP9/SMOC2/COL10A1/CYP1B1/COMP/MMP11/GREM1",10
"GO:0043062","extracellular structure organization","10/65","340/18986",0.0294117647058824,8.59095022624434,8.27813869685899,2.22153186154546e-07,0.000129802050876669,0.000105318502438958,"AEBP1/CTSK/SH3PXD2B/MMP9/SMOC2/COL10A1/CYP1B1/COMP/MMP11/GREM1",10
"GO:0045229","external encapsulating structure organization","10/65","341/18986",0.0293255131964809,8.56575682382134,8.26301060368922,2.28256830381012e-07,0.000129802050876669,0.000105318502438958,"AEBP1/CTSK/SH3PXD2B/MMP9/SMOC2/COL10A1/CYP1B1/COMP/MMP11/GREM1",10
"GO:0030199","collagen fibril organization","5/65","72/18986",0.0694444444444444,20.284188034188,9.60872689038271,4.71423857359104e-06,0.00201062275163658,0.00163137466428216,"AEBP1/CYP1B1/COMP/MMP11/GREM1",5
"GO:0030574","collagen catabolic process","4/65","45/18986",0.0888888888888889,25.9637606837607,9.82663334047182,1.67735144265055e-05,0.00514937870120922,0.00417809156049246,"CTSK/MMP9/CTSB/MMP11",4
"GO:0042445","hormone metabolic process","7/65","241/18986",0.029045643153527,8.48400893712097,6.85314676368114,1.81103588553666e-05,0.00514937870120922,0.00417809156049246,"DHRS9/CTSK/PLA2G7/CORIN/CYP1B1/CTSB/SPP1",7
"GO:1900047","negative regulation of hemostasis","4/65","51/18986",0.0784313725490196,22.9092006033183,9.18266839544132,2.77032043809511e-05,0.00675166666770036,0.00547815244525574,"APOE/FGG/SERPINE2/COMP",4
"GO:1904018","positive regulation of vasculature development","6/65","192/18986",0.03125,9.12788461538462,6.63450413300573,4.97719748830434e-05,0.0104533452819832,0.00848161229456893,"CXCL12/SMOC2/TGM2/CYP1B1/PTGIS/GREM1",6
"GO:0061448","connective tissue development","7/65","290/18986",0.0241379310344828,7.05050397877984,6.08563829768868,5.88985751958577e-05,0.0104533452819832,0.00848161229456893,"FRZB/CTSK/SCIN/SH3PXD2B/COMP/PRRX1/GREM1",7
"GO:0002688","regulation of leukocyte chemotaxis","5/65","126/18986",0.0396825396825397,11.5909645909646,6.9910093120832,7.13943360578219e-05,0.0104533452819832,0.00848161229456893,"CCL19/CXCL12/PLA2G7/VEGFD/GREM1",5
"GO:0022617","extracellular matrix disassembly","4/65","65/18986",0.0615384615384615,17.9749112426036,8.03492974568874,7.24072182351467e-05,0.0104533452819832,0.00848161229456893,"CTSK/SH3PXD2B/MMP9/MMP11",4
"GO:0006874","intracellular calcium ion homeostasis","7/65","304/18986",0.0230263157894737,6.72580971659919,5.89864086644414,7.91812838339498e-05,0.0104533452819832,0.00848161229456893,"HTR2B/APOE/CCL19/CD19/CXCL12/TGM2/CEMIP",7
"GO:0051216","cartilage development","6/65","209/18986",0.0287081339712919,8.38542510121458,6.29253260084507,7.96562067208565e-05,0.0104533452819832,0.00848161229456893,"FRZB/CTSK/SCIN/COMP/PRRX1/GREM1",6
"GO:0050851","antigen receptor-mediated signaling pathway","6/65","212/18986",0.0283018867924528,8.26676342525399,6.23620641343906,8.61667018803871e-05,0.0105000281005672,0.00851948969719617,"CD19/BLK/CD79A/FCMR/CD3D/CD8A",6
"GO:0050920","regulation of chemotaxis","6/65","216/18986",0.0277777777777778,8.11367521367521,6.1628090032134,9.55001531112149e-05,0.0108615507471822,0.00881282114675422,"CCL19/CXCL12/PLA2G7/SMOC2/VEGFD/GREM1",6
"GO:1900046","regulation of hemostasis","4/65","71/18986",0.0563380281690141,16.4559046587216,7.64733944585831,0.000102327218996882,0.0109087530877461,0.00885112007798246,"APOE/FGG/SERPINE2/COMP",4
"GO:0061035","regulation of cartilage development","4/65","73/18986",0.0547945205479452,16.0050579557429,7.52850654285268,0.000114041424992115,0.0109087530877461,0.00885112007798246,"FRZB/CTSK/SCIN/GREM1",4
"GO:0051651","maintenance of location in cell","6/65","224/18986",0.0267857142857143,7.8239010989011,6.02153345216511,0.00011657961922152,0.0109087530877461,0.00885112007798246,"HTR2B/APOE/CCL19/CD19/SCIN/CEMIP",6
"GO:0030168","platelet activation","5/65","141/18986",0.0354609929078014,10.3578832515003,6.5370084189612,0.000121492560766223,0.0109087530877461,0.00885112007798246,"APOE/FGG/SERPINE2/COMP/SVEP1",5
"GO:0055074","calcium ion homeostasis","7/65","329/18986",0.0212765957446809,6.21472995090016,5.59240740963987,0.000129455119533308,0.0110425216961912,0.0089596569571737,"HTR2B/APOE/CCL19/CD19/CXCL12/TGM2/CEMIP",7
"GO:0050921","positive regulation of chemotaxis","5/65","145/18986",0.0344827586206897,10.0721485411141,6.42735244210037,0.000138548379870163,0.0112554064789761,0.0091323869438228,"CCL19/CXCL12/PLA2G7/SMOC2/VEGFD",5
"GO:0050853","B cell receptor signaling pathway","4/65","79/18986",0.0506329113924051,14.7894839337877,7.19846973270699,0.000155024768776796,0.0118249338406402,0.00959448880140797,"CD19/BLK/CD79A/FCMR",4
"GO:0090025","regulation of monocyte chemotaxis","3/65","31/18986",0.0967741935483871,28.2669975186104,8.90525187206514,0.000160752381114004,0.0118249338406402,0.00959448880140797,"CXCL12/PLA2G7/GREM1",3
"GO:0061037","negative regulation of cartilage development","3/65","32/18986",0.09375,27.3836538461538,8.75486447499298,0.000176948929176316,0.0118249338406402,0.00959448880140797,"FRZB/CTSK/GREM1",3
"GO:0035296","regulation of tube diameter","5/65","154/18986",0.0324675324675325,9.48351648351648,6.19552311858354,0.00018360841330245,0.0118249338406402,0.00959448880140797,"HTR2B/APOE/FGG/COMP/SVEP1",5
"GO:0097746","blood vessel diameter maintenance","5/65","154/18986",0.0324675324675325,9.48351648351648,6.19552311858354,0.00018360841330245,0.0118249338406402,0.00959448880140797,"HTR2B/APOE/FGG/COMP/SVEP1",5
"GO:0035150","regulation of tube size","5/65","155/18986",0.032258064516129,9.42233250620347,6.17094217104775,0.000189231471892855,0.0118249338406402,0.00959448880140797,"HTR2B/APOE/FGG/COMP/SVEP1",5
"GO:0016485","protein processing","6/65","246/18986",0.024390243902439,7.12420262664165,5.66659596324364,0.000194078632788937,0.0118249338406402,0.00959448880140797,"FGG/AEBP1/PLA2G7/SERPINE2/CORIN/COMP",6
"GO:0042310","vasoconstriction","4/65","88/18986",0.0454545454545455,13.2769230769231,6.76570230510928,0.000235118027195046,0.013831426013612,0.0112225120058615,"HTR2B/FGG/COMP/SVEP1",4
"GO:1901342","regulation of vasculature development","7/65","369/18986",0.018970189701897,5.54104648738795,5.16302487886848,0.00026149900540093,0.0148705767737996,0.0120656558632359,"CXCL12/SMOC2/TGM2/THBS2/CYP1B1/PTGIS/GREM1",7
