"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-376176","Signaling by ROBO receptors",198,0.489883304833771,2.55861690949439,1e-10,8.68823529411765e-09,6.44582043343653e-09,3596,"tags=51%, list=23%, signal=40%","6387/22794/7311/5532/6232/6204/6142/6233/5710/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6586/6169/6223/5707/25/5692/6210/6203/6143/6155/6141/6193/6205/23053/6209/5696/5693/51065/2197/6156/6923/5695/6230/6136/5716/3199/6157/6201/6166/10921/51121/4650/5058/6133/6217/6165/5694/6227/6218/5702/5701/5699/5698/23708/8453/5700/5686/5879/10487/6170/51466/6171/23198/6714/6654/5721/5689/6158/6175/7316/65109/5711/5691/1981/6138/6164/116832/5690/5713/6176/6122/5718/5715/6181/6135/7852/10197/26986/26019/1605/7314"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",158,0.50552212684417,2.53064698836332,1e-10,8.68823529411765e-09,6.44582043343653e-09,3596,"tags=56%, list=23%, signal=44%","22794/7311/6232/6204/6142/6233/5710/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/5707/5692/6210/6203/6143/6155/6141/6193/6205/23053/6209/5696/5693/51065/2197/6156/6923/5695/6230/6136/5716/3199/6157/6201/6166/10921/51121/6133/6217/6165/5694/6227/6218/5702/5701/5699/5698/23708/8453/5700/5686/6170/6171/23198/5721/5689/6158/6175/7316/65109/5711/5691/1981/6138/6164/116832/5690/5713/6176/6122/5718/5715/6181/6135/10197/26986/26019/1605/7314"
"R-HSA-72766","Translation",285,0.4581622686979,2.49260566916852,1e-10,8.68823529411765e-09,6.44582043343653e-09,3623,"tags=53%, list=23%, signal=41%","8664/7311/6748/6183/6232/64963/6204/6142/6233/26589/6139/4736/6188/64981/58477/6235/25873/23521/8662/6182/6124/6128/64951/1933/219927/6206/3921/6208/1967/6169/6223/1936/64968/3396/23107/128308/1974/6210/64976/64960/1615/7818/84545/6203/116540/6143/327/6155/6141/64949/65003/6193/1968/6205/55052/6150/6209/29927/8666/51065/8667/64965/3646/2197/6156/28972/122704/8893/7284/6727/6730/79590/5018/51386/6230/60559/1938/6136/8668/6157/51073/9553/3735/57176/6201/6166/51121/51649/6133/6217/6165/1975/51021/57038/51264/11222/6227/6218/5859/3376/1915/51318/23708/2193/6170/6171/23471/10884/5464/7965/16/2058/8890/8665/6158/6175/27335/29093/51253/6728/64928/1981/54460/6138/6164/2617/116832/116541/64969/7458/6176/23478/6122/8892/56945/7407/23480/6181/6135/64979/4528/26986/6746/6745/124454/5917/54948/10102/3035/1973"
"R-HSA-72764","Eukaryotic Translation Termination",91,0.538508049422588,2.4790054809287,1e-10,8.68823529411765e-09,6.44582043343653e-09,3387,"tags=58%, list=22%, signal=46%","7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/327/6155/6141/6193/6205/6209/51065/2197/6156/6230/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/23708/6170/6171/6158/6175/6138/6164/116832/6176/6122/6181/6135"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",109,0.520911094365327,2.4742392826642,1e-10,8.68823529411765e-09,6.44582043343653e-09,4214,"tags=65%, list=27%, signal=48%","7311/6748/6232/6204/6142/6233/6139/4736/6188/58477/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/29927/51065/2197/6156/28972/6727/6730/6230/60559/6136/6157/6201/6166/51121/6133/6217/6165/6227/6218/6170/6171/23471/6158/6175/6728/6138/6164/116832/6176/23478/6122/23480/6181/6135/6746/6745/6184/6132/6734/6146/6159/6161/6229"
"R-HSA-72613","Eukaryotic Translation Initiation",116,0.511959802585393,2.46532602531881,1e-10,8.68823529411765e-09,6.44582043343653e-09,3433,"tags=60%, list=22%, signal=48%","8664/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/8662/6124/6128/6206/3921/6208/1967/6169/6223/1974/6210/6203/6143/6155/6141/6193/1968/6205/6209/8666/51065/8667/3646/2197/6156/8893/51386/6230/6136/8668/6157/6201/6166/51121/6133/6217/6165/1975/6227/6218/6170/6171/8890/8665/6158/6175/27335/1981/6138/6164/116832/7458/6176/6122/8892/6181/6135/26986"
"R-HSA-72737","Cap-dependent Translation Initiation",116,0.511959802585393,2.46532602531881,1e-10,8.68823529411765e-09,6.44582043343653e-09,3433,"tags=60%, list=22%, signal=48%","8664/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/8662/6124/6128/6206/3921/6208/1967/6169/6223/1974/6210/6203/6143/6155/6141/6193/1968/6205/6209/8666/51065/8667/3646/2197/6156/8893/51386/6230/6136/8668/6157/6201/6166/51121/6133/6217/6165/1975/6227/6218/6170/6171/8890/8665/6158/6175/27335/1981/6138/6164/116832/7458/6176/6122/8892/6181/6135/26986"
"R-HSA-9711097","Cellular response to starvation",147,0.494956005069728,2.46455622599445,1e-10,8.68823529411765e-09,6.44582043343653e-09,4522,"tags=62%, list=29%, signal=45%","7311/6232/6204/6142/6233/529/6139/4736/6188/6235/25873/23521/389541/6124/6128/440/6206/3921/6208/9296/6169/6223/64121/10641/6210/6203/6143/6155/6141/8131/6193/1968/528/6205/8992/6209/51065/1649/2197/6156/55004/6230/58528/6136/2475/6157/6201/6166/51121/533/6133/6217/6165/6227/6218/1386/28956/6170/6171/6158/6175/10542/90423/526/6138/6164/116832/84219/6176/6122/652968/51382/81929/51606/6181/6135/64223/6396/6132/1051/6146/6159/79726/6161/6229/1054/10312/10670/8649/6192/54468"
"R-HSA-2408522","Selenoamino acid metabolism",112,0.518322130433935,2.46391064181172,1e-10,8.68823529411765e-09,6.44582043343653e-09,3112,"tags=54%, list=20%, signal=44%","7311/6232/6204/7296/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/1615/6203/6143/6155/6141/6193/6205/6209/51065/79048/2197/6156/6230/6136/6157/3735/6201/6166/51121/6133/6217/6165/191/6227/6218/5859/3376/4837/6170/6171/7965/2058/51540/6158/6175/3176/6138/6164/116832/6176/6122"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",109,0.514425108694972,2.44343195161293,1e-10,8.68823529411765e-09,6.44582043343653e-09,3433,"tags=61%, list=22%, signal=48%","8664/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/8662/6124/6128/6206/3921/6208/6169/6223/1974/6210/6203/6143/6155/6141/6193/1968/6205/6209/8666/51065/8667/3646/2197/6156/51386/6230/6136/8668/6157/6201/6166/51121/6133/6217/6165/1975/6227/6218/6170/6171/8665/6158/6175/27335/1981/6138/6164/116832/7458/6176/6122/6181/6135/26986"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",110,0.511871974269945,2.43014309142183,1e-10,8.68823529411765e-09,6.44582043343653e-09,3112,"tags=57%, list=20%, signal=46%","8664/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/8662/6124/6128/6206/3921/6208/6169/6223/1974/6210/6203/6143/6155/6141/6193/1968/6205/6209/8666/51065/8667/3646/2197/6156/51386/6230/6136/8668/6157/6201/6166/51121/6133/6217/6165/1975/6227/6218/6170/6171/8665/6158/6175/27335/1981/6138/6164/116832/7458/6176/6122"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)",111,0.510826915847064,2.42591527584238,1e-10,8.68823529411765e-09,6.44582043343653e-09,3537,"tags=55%, list=23%, signal=43%","22794/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/51065/2197/6156/6230/6136/6157/6201/6166/10921/51121/6133/6217/6165/55802/6227/6218/23708/6170/6171/6158/6175/65109/1981/6138/6164/116832/5976/9887/6176/6122/6181/6135/26986/26019"
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",111,0.510826915847064,2.42591527584238,1e-10,8.68823529411765e-09,6.44582043343653e-09,3537,"tags=55%, list=23%, signal=43%","22794/7311/6232/6204/6142/6233/6139/4736/6188/6235/25873/23521/6124/6128/6206/3921/6208/6169/6223/6210/6203/6143/6155/6141/6193/6205/6209/51065/2197/6156/6230/6136/6157/6201/6166/10921/51121/6133/6217/6165/55802/6227/6218/23708/6170/6171/6158/6175/65109/1981/6138/6164/116832/5976/9887/6176/6122/6181/6135/26986/26019"
"R-HSA-8868773","rRNA processing in the nucleus and cytosol",185,0.446363233781014,2.31018042868574,1e-10,8.68823529411765e-09,6.44582043343653e-09,3879,"tags=53%, list=25%, signal=40%","7311/6232/6204/6142/6233/6139/4736/6188/54913/6235/25873/23016/90459/23521/6124/6128/6206/55651/3921/6208/10436/6169/6223/6210/54881/6203/6143/6155/6141/6193/6205/6209/81887/51065/92856/56915/2197/6156/55131/51118/4691/114049/8602/6230/6136/55226/9277/28987/6157/6201/6166/51121/8568/6133/22803/84946/6217/6165/118460/6227/6218/51013/54555/117246/6170/6171/134430/55272/55505/55759/79897/6158/5394/6175/84128/4809/10171/6138/57647/6164/116832/10199/6176/6122/10799/10813/9790/6181/6135/88745/27341/51202/4839/9136/1736/6132/54512/26354"
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",175,0.452202731230868,2.30698701543773,1e-10,8.68823529411765e-09,6.44582043343653e-09,3436,"tags=50%, list=22%, signal=40%","7311/6232/6204/6142/6233/6139/4736/6188/54913/6235/25873/23016/90459/23521/6124/6128/6206/3921/6208/10436/6169/6223/6210/54881/6203/6143/6155/6141/6193/6205/6209/81887/51065/92856/56915/2197/6156/55131/51118/4691/114049/8602/6230/6136/9277/28987/6157/6201/6166/51121/8568/6133/22803/84946/6217/6165/118460/6227/6218/51013/54555/117246/6170/6171/134430/55272/55759/79897/6158/5394/6175/84128/4809/10171/6138/57647/6164/116832/10199/6176/6122/10799/10813/9790/6181/6135/88745/27341"
